name,type,start_time,duration,"mosi","miso"
"SPI","result",6.98491184,0.00084864,0x87,0x74
"SPI","disable",6.98579936,0.00000016,,
"SPI","enable",6.98603856,0.00000016,,
"SPI","result",6.98615872,0.00084864,0x47,0x72
"SPI","disable",6.9870352,0.00000016,,
"SPI","enable",6.98711904,0.00000016,,
"SPI","result",6.98729232,0.00084864,0x8D,0xB8
"SPI","disable",6.98817008,0.00000016,,
"SPI","enable",6.98826064,0.00000016,,
"SPI","result",6.98842576,0.0008488,0x07,0xB8
"SPI","disable",6.98930304,0.00000016,,
"SPI","enable",6.98939072,0.00000016,,
"SPI","result",6.98955936,0.0008488,0x87,0xF8
"SPI","disable",6.9904416,0.00000016,,
"SPI","enable",7.08711024,0.00000016,,
"SPI","result",7.08727264,0.0008488,0x47,0xFE
"SPI","disable",7.0891208,0.00000016,,
"SPI","enable",7.0892048,0.00000016,,
"SPI","result",7.08931312,0.00084864,0x01,0xB8
"SPI","disable",7.09020144,0.00000016,,
"SPI","enable",7.090292,0.00000016,,
"SPI","result",7.09044656,0.0008488,0x8B,0xB8
"SPI","disable",7.0913248,0.00000016,,
"SPI","enable",7.09141264,0.00000016,,
"SPI","result",7.09158016,0.0008488,0x87,0x74
"SPI","disable",7.09245488,0.00000016,,
"SPI","enable",7.18910656,0.00000016,,
"SPI","result",7.18929344,0.0008488,0x47,0xFE
"SPI","disable",7.19017552,0.00000016,,
"SPI","enable",7.19025936,0.00000016,,
"SPI","result",7.19042704,0.0008488,0x01,0xB8
"SPI","disable",7.19185968,0.00000016,,
"SPI","enable",7.19195024,0.00000016,,
"SPI","result",7.19212736,0.0008488,0x8B,0xB8
"SPI","disable",7.19300128,0.00000016,,
"SPI","enable",7.19308896,0.00000016,,
"SPI","result",7.19326096,0.0008488,0x87,0x74
"SPI","disable",7.19413984,0.00000016,,
"SPI","enable",7.29079328,0.00000016,,
"SPI","result",7.29097424,0.0008488,0x47,0xFE
"SPI","disable",7.29185376,0.00000016,,
"SPI","enable",7.29193776,0.00000016,,
"SPI","result",7.29210784,0.0008488,0x01,0xB8
"SPI","disable",7.29298864,0.00000016,,
"SPI","enable",7.2930792,0.00000016,,
"SPI","result",7.29324144,0.00084864,0x8B,0xB8
"SPI","disable",7.29413024,0.00000016,,
"SPI","enable",7.29421792,0.00000016,,
"SPI","result",7.29437504,0.00084864,0x87,0x74
"SPI","disable",7.2957096,0.00000016,,
"SPI","enable",7.39191376,0.00000016,,
"SPI","result",7.39208816,0.00084864,0x47,0xFE
"SPI","disable",7.39296464,0.00000016,,
