,index,name,type,start_time,duration,mosi,miso,~miso,decoded,meaning,CB1,CB1_bin,BED,BED_bin
1856,5569,SPI,result,21.45712352,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1857,5572,SPI,result,21.45825712,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1858,5575,SPI,result,21.45939072,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1859,5578,SPI,result,21.46052432,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1860,5581,SPI,result,21.5582376,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1861,5584,SPI,result,21.55937104,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1862,5587,SPI,result,21.56050464,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1863,5590,SPI,result,21.56163824,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1864,5593,SPI,result,21.65935152,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1865,5596,SPI,result,21.66048512,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1866,5599,SPI,result,21.66161872,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1867,5602,SPI,result,21.66275232,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1868,5605,SPI,result,21.7604656,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1869,5608,SPI,result,21.76159904,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1870,5611,SPI,result,21.76273264,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1871,5614,SPI,result,21.76386624,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1872,5617,SPI,result,21.86157952,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1873,5620,SPI,result,21.86271312,0.00084864,0x01,0xB8,0x47,ACK,,,,,
